gene,axes,n_known_drugs,max_clinical_stage,example_drugs,original_indications,degrader_tier,ad_lit_count,already_in_AD,repurpose_class,repurpose_precedent
CD3E,"Th1/IFNg (TBX21), Activation (LCK)",22,Approved,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; ERTUMAXOMAB,B-cell acute lymphoblastic leukemia; B-cell non-Hodgkin lymphoma; acute lymphoblastic leukemia; cancer; diffuse large B-cell lymphoma,high (HQ ligand + ubiquitination),385.0,False,REPURPOSE (approved elsewhere),T-cell engagers/OKT3 (oncology/transplant)
TYK2,JAK-STAT (TYK2),17,Approved,BREPOCITINIB; CERDULATINIB; DELGOCITINIB; DEUCRAVACITINIB; DEURUXOLITINIB PHOSPHATE,Alopecia universalis; Eczematoid dermatitis; acquired polycythemia vera; alopecia areata; alopecia totalis,,,True,in-indication (already AD-drugged),deucravacitinib approved (psoriasis) — same class
IFNAR1,JAK-STAT (TYK2),12,Approved,ALBINTERFERON ALFA-2B; ANIFROLUMAB; INTERFERON ALFA-2A; INTERFERON ALFA-2B; INTERFERON ALFA-N3,AIDS; AIDS related complex; COVID-19; Middle East respiratory syndrome; carcinoid tumor,high (HQ ligand + ubiquitination),280.0,False,REPURPOSE (approved elsewhere),anifrolumab approved in SLE/lupus (type-I IFN blockade)
IL2RB,JAK-STAT (STAT5B),10,Approved,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; HUMIK-BETA-1,Cirrhosis; Sepsis; acute respiratory distress syndrome; cervical cancer; childhood leukemia,high (HQ ligand + ubiquitination),145.0,False,REPURPOSE (approved elsewhere),"basiliximab/daclizumab approved (transplant/MS, IL-2R)"
LCK,"Th1/IFNg (TBX21), Activation (LCK)",8,Approved,DASATINIB ANHYDROUS; ENMD-981693; ILORASERTIB; JNJ-26483327; PAZOPANIB,"acute lymphoblastic leukemia; acute myeloid leukemia; age-related macular degeneration; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; breast carcinoma",high (HQ ligand + ubiquitination),573.0,False,REPURPOSE (approved elsewhere),dasatinib (approved oncology Src/Abl kinase inhibitor)
ITK,"Th1/IFNg (TBX21), Activation (LCK)",4,Approved,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,alopecia; alopecia areata; asthma; carcinoid tumor; fallopian tube cancer,high (HQ ligand + ubiquitination),354.0,False,REPURPOSE (approved elsewhere),ritlecitinib approved in alopecia areata (autoimmune skin); asthma
EZH2,Th22/AHR (AHR),3,Approved,GSK2816126; TAZEMETOSTAT; TAZEMETOSTAT HYDROBROMIDE,Epithelioid Malignant Peripheral Nerve Sheath Tumor; diffuse large B-cell lymphoma; follicular lymphoma; malignant myoepithelioma; mesothelioma,high (HQ ligand + ubiquitination),465.0,False,REPURPOSE (approved elsewhere),tazemetostat approved EZH2 inhibitor (oncology) — chromatin node
CD2,Th1/IFNg (TBX21),2,Approved,ALEFACEPT; SIPLIZUMAB,Pain; immune system disorder; leukemia; lichen planus; lymphoma,high (HQ ligand + ubiquitination),1115.0,False,REPURPOSE (approved elsewhere),alefacept was approved in psoriasis (T-cell skin disease)
IL4R,Th2 (STAT6),2,Approved,CINTREDEKIN BESUDOTOX; DUPILUMAB,Eczematoid dermatitis; Nasal polyposis; anaplastic astrocytoma; asthma; atopic eczema,high (HQ ligand + ubiquitination),,True,in-indication (already AD-drugged),dupilumab (already AD)
AHR,Th22/AHR (AHR),1,Approved,TAPINAROF,Palmoplantar keratoderma; atopic eczema; psoriasis; psoriasis vulgaris,,,True,in-indication (already AD-drugged),tapinarof (already AD)
MALT1,Activation (LCK),1,Approved,MEPAZINE ACETATE,,high (HQ ligand + ubiquitination),356.0,False,REPURPOSE (approved elsewhere),"MALT1 inhibitors (lymphoma) — paracaspase, immune-relevant"
HSP90AB1,AD-GWAS TF (IRF1),10,Phase III,ALVESPIMYCIN; BIIB021; CD24FC; GANETESPIB; LUMINESPIB,COVID-19; Renal neoplasm; anaplastic large cell lymphoma; breast cancer; cancer,high (HQ ligand + ubiquitination),72.0,False,repurpose (clinical elsewhere),HSP90 inhibitors (oncology)
RELA,AD-GWAS TF (IRF1),1,Phase III,EDASALONEXENT,Duchenne muscular dystrophy; type 2 diabetes mellitus,,2192.0,False,repurpose (clinical elsewhere),"edasalonexent (NF-kB, DMD)"
CD28,Activation (LCK),2,Phase II,LULIZUMAB PEGOL; TGN-1412,Sjogren syndrome; cutaneous lupus erythematosus; psoriasis vulgaris; rheumatoid arthritis; systemic lupus erythematosus,moderate (structural ligand),3562.0,False,repurpose (clinical elsewhere),"lulizumab (autoimmune, Ph II)"
PTPRC,"Th2 (STAT6), Activation (LCK)",2,Phase II,AHN-12; BC8 131I,acute lymphoblastic leukemia; leukemia,high (HQ ligand + ubiquitination),181.0,False,repurpose (clinical elsewhere),anti-CD45 (transplant conditioning)
CREBBP,JAK-STAT (STAT5B),1,Phase II,PRI-724,"acute myeloid leukemia; acute myeloid leukemia by FAB classification; chronic myelogenous leukemia, BCR-ABL1 positive; cirrhosis of liver; colorectal cancer",high (HQ ligand + ubiquitination),61.0,False,repurpose (clinical elsewhere),PRI-724 (oncology)
NRAS,Th2 (GATA3),1,Phase II,SALIRASIB,lung cancer; malignant pancreatic neoplasm; non-small cell lung carcinoma,high (HQ ligand + ubiquitination),,False,repurpose (clinical elsewhere),salirasib (oncology Ras)
